Walls U Value,Walls Area,Floor U Value,Floor Area,Roof U value,Roof Area,Maintenance Factor,Mid-pane U value,Av Frame Width,Glazing g,Frame U value,Psi Factor,Infiltration Rate,Ventilation Rate,Shelter Factor,TFA,Volume,Occupants,Metabolic Gains,Electrical Gains,MVHR efficiency,W1H,W1W,W1A,W1B,W1dir,W2H,W2W,W2A,W2B,W2dir,W3H,W3W,W3A,W3B,W3dir,W4H,W4W,W4A,W4B,W4dir,Linear TB coef,length of TB,Point TB coef,Number of point TB,Floors,Total Heating E
0.15,722.71,0.16,98.51,0.16,1566.46,0.24,2.15,1.22,0.57,0.57,0.06,3.98,20.15,0.07,4584.25,1864.39,1434.86,1.26,1.09,0.42,16.23,6.31,21.21,137.48,271.31,25.46,40.54,40.52,115.13,130.68,7.32,13.68,31.69,141.86,254.48,15.67,33.72,86.08,23.84,293.03,0.15,1451.51,24.71,1124.38,8.0,702.32
0.08,614.51,0.16,312.06,0.1,488.79,0.73,2.56,1.69,0.67,1.91,0.03,1.51,10.99,0.04,10056.24,8631.22,923.97,2.8,1.21,0.58,23.66,2.86,27.08,166.95,255.16,10.93,18.6,11.97,58.62,241.33,18.89,14.53,39.46,50.79,344.08,8.49,8.58,87.2,137.05,262.63,0.24,1262.78,5.05,139.72,7.0,6.92
0.14,188.27,0.03,589.61,0.18,529.99,0.47,2.09,3.12,0.84,2.67,0.06,2.28,23.53,0.09,7467.78,5656.79,3098.33,1.63,1.23,0.47,4.54,27.26,63.2,70.02,180.28,22.19,17.83,21.14,114.29,264.89,15.55,19.25,31.88,46.0,311.6,20.52,16.9,55.39,77.1,184.49,0.01,1064.95,16.86,2387.04,8.0,633.02
0.16,376.67,0.15,478.46,0.14,911.76,0.53,4.44,0.99,0.63,1.42,0.03,0.52,5.61,0.09,659.07,7714.32,2623.74,3.8,0.87,0.65,16.73,9.05,71.65,17.1,108.32,23.6,26.56,29.71,104.06,202.45,11.88,35.26,87.52,6.72,87.02,10.48,27.43,34.48,135.46,286.2,0.05,428.18,12.02,822.49,1.0,2541.0
0.17,3124.83,0.08,2067.53,0.03,1483.58,0.5,1.75,0.75,0.69,0.5,0.05,1.87,6.37,0.07,2281.17,16945.53,1665.71,3.01,0.79,0.81,3.34,35.09,6.88,22.12,39.19,21.5,19.54,14.64,171.97,77.19,6.86,8.28,88.71,141.65,148.24,5.96,29.98,11.41,29.81,352.35,0.1,222.33,11.58,730.63,7.0,408.85
0.17,885.78,0.15,1194.48,0.16,459.56,0.49,4.49,3.99,0.68,2.03,0.06,3.7,27.73,0.06,618.93,9226.43,1115.57,4.21,0.81,0.9,12.73,26.89,75.0,112.31,176.3,14.25,18.28,68.24,170.5,270.45,10.76,12.71,11.65,163.91,303.77,27.65,31.95,54.97,50.95,340.77,0.38,1578.23,4.64,2078.15,5.0,47.48
0.17,354.54,0.16,1890.86,0.12,351.08,0.7,4.42,0.23,0.44,1.72,0.05,3.02,6.9,0.09,9266.4,12890.13,3514.48,3.66,1.49,0.8,24.91,18.73,24.26,28.47,126.91,5.0,2.1,77.81,178.47,241.08,7.82,8.9,62.37,140.91,255.81,30.68,34.12,73.37,143.32,15.25,0.38,792.37,28.51,1734.68,3.0,510.21
0.02,209.8,0.16,224.64,0.13,1461.1,0.43,3.52,0.26,0.41,2.63,0.07,3.82,9.33,0.03,7574.14,2299.21,1230.42,3.87,0.99,0.72,3.16,38.63,17.28,162.92,307.47,18.14,30.49,74.19,60.5,251.43,16.16,12.48,86.61,146.21,86.12,22.0,20.03,10.2,100.95,63.98,0.16,656.81,9.73,192.86,2.0,53.76
0.11,1397.72,0.1,577.86,0.14,307.66,0.18,1.88,2.23,0.74,2.67,0.05,3.96,23.71,0.05,5466.11,16755.63,2386.11,3.35,1.19,0.33,35.21,6.66,8.0,174.39,260.11,7.49,7.89,9.22,65.41,77.54,21.63,4.72,65.82,158.31,54.76,22.29,25.53,70.81,148.0,100.03,0.17,936.69,11.72,1044.18,4.0,407.89
0.11,1034.94,0.11,1555.67,0.06,701.66,0.15,1.71,1.82,0.37,0.28,0.03,3.47,6.29,0.06,11055.58,1705.46,3834.57,3.72,1.4,0.4,28.11,15.85,61.26,135.57,96.36,14.06,21.95,28.25,169.31,132.66,10.61,12.42,42.97,83.21,43.78,34.32,16.56,41.6,172.19,256.09,0.01,1421.97,5.82,2479.57,1.0,125.96
0.15,2753.96,0.07,1224.74,0.17,759.83,0.74,2.59,2.56,0.6,2.99,0.05,4.84,24.83,0.07,1926.34,9966.74,88.45,4.06,0.93,0.89,7.18,14.32,6.82,166.82,192.35,18.77,15.42,68.57,173.56,336.52,21.99,13.06,46.28,61.61,354.82,5.07,19.39,6.18,65.23,59.08,0.2,577.17,27.02,1417.06,4.0,3.62
0.08,159.29,0.05,901.49,0.14,126.19,0.14,3.95,0.7,0.71,1.69,0.04,0.55,20.49,0.07,13062.56,5483.78,2764.02,1.68,1.16,0.4,10.96,9.69,36.42,160.32,115.39,8.66,15.72,68.91,119.07,37.06,16.14,14.95,30.15,153.47,0.77,9.95,12.21,25.26,78.69,114.94,0.05,479.79,0.18,2812.66,5.0,69.04
0.12,305.01,0.11,1191.48,0.14,405.06,0.43,4.38,1.07,0.64,2.89,0.06,5.17,13.17,0.07,966.24,13773.68,2464.75,2.45,1.16,0.9,26.15,41.04,67.27,114.98,112.23,9.08,23.12,27.99,23.56,75.9,7.95,16.31,25.61,176.88,302.49,24.61,3.67,40.76,107.1,9.47,0.23,918.96,11.06,2426.6,2.0,3221.0
0.16,1460.41,0.06,533.79,0.08,377.24,0.31,4.74,0.87,0.35,1.7,0.06,2.78,7.51,0.05,2573.43,10104.94,3935.72,2.24,0.85,0.4,15.38,30.36,4.82,133.52,347.88,10.49,17.5,33.35,150.26,122.53,7.14,12.98,27.22,35.41,352.75,5.3,40.54,1.38,143.81,200.97,0.29,982.2,25.58,2254.93,8.0,2327.2
0.17,371.11,0.04,137.33,0.11,875.73,0.19,1.78,0.34,0.79,0.3,0.06,4.06,15.88,0.03,6927.66,3959.83,2252.98,2.92,1.49,0.52,14.97,9.6,61.17,90.14,127.81,21.57,7.41,65.7,73.98,303.98,37.01,8.2,20.2,18.36,107.35,8.26,14.85,54.07,132.34,5.65,0.03,1309.32,27.28,2002.48,2.0,440.59
0.02,1908.23,0.15,1513.89,0.16,324.62,0.66,2.97,2.06,0.31,2.5,0.07,3.61,28.29,0.08,179.31,34438.99,3825.5,1.9,1.17,0.61,4.83,4.47,43.69,65.74,226.76,13.78,12.56,82.89,171.66,306.9,4.53,12.31,33.28,19.93,107.3,16.86,14.5,47.4,157.37,106.72,0.23,433.71,0.59,1956.3,5.0,570.94
0.12,2473.36,0.13,787.48,0.11,1293.33,0.26,4.03,1.4,0.45,1.19,0.06,4.67,9.0,0.04,199.04,6286.11,1247.08,2.21,1.02,0.92,8.57,13.22,83.07,26.34,138.37,13.32,36.98,58.21,75.96,21.99,13.66,7.84,14.79,111.53,347.15,24.51,29.99,85.86,52.11,292.18,0.03,270.33,24.92,734.84,4.0,10844.96
0.06,1034.25,0.14,1031.79,0.14,633.81,0.6,0.97,2.94,0.84,2.62,0.04,3.15,24.5,0.05,3806.22,2671.87,1567.73,2.05,0.7,0.93,5.5,9.29,73.32,56.09,272.04,8.93,6.42,42.61,173.96,150.99,14.24,19.12,38.68,128.75,157.05,13.51,20.67,0.54,36.62,104.43,0.36,204.85,4.53,1200.41,8.0,153.87
0.09,1612.08,0.11,592.07,0.05,1548.55,0.23,1.45,2.67,0.33,1.48,0.04,5.96,13.52,0.08,6996.55,13890.21,1601.92,3.56,0.77,0.53,12.68,10.51,21.24,150.19,334.92,24.53,11.96,33.37,17.38,354.97,5.3,17.09,52.7,89.91,151.0,19.75,29.16,48.37,18.55,358.97,0.28,917.02,21.5,626.74,8.0,201.69
0.15,1049.01,0.07,1041.88,0.11,1019.06,0.46,3.66,1.38,0.65,2.88,0.06,3.74,17.58,0.04,3777.35,4489.63,2335.75,2.78,1.34,0.74,21.11,11.11,47.45,123.38,151.18,5.74,23.33,18.38,164.51,335.58,32.02,10.46,48.96,0.8,43.27,15.29,11.76,84.15,131.92,27.52,0.36,386.3,1.79,650.88,2.0,12.86
