Walls U Value,Walls Area,Floor U Value,Floor Area,Roof U value,Roof Area,Maintenance Factor,Mid-pane U value,Av Frame Width,Glazing g,Frame U value,Psi Factor,Infiltration Rate,Ventilation Rate,Shelter Factor,TFA,Volume,Occupants,Metabolic Gains,Electrical Gains,MVHR efficiency,W1H,W1W,W1A,W1B,W1dir,W2H,W2W,W2A,W2B,W2dir,W3H,W3W,W3A,W3B,W3dir,W4H,W4W,W4A,W4B,W4dir,Linear TB coef,length of TB,Point TB coef,Number of point TB,Floors,Total Heating E
0.15,1448.56,0.16,104.45,0.16,127.05,0.31,1.32,3.12,0.6,1.58,0.06,0.6,15.33,0.04,656.82,19193.85,156.54,3.33,0.94,0.9,7.98,4.37,14.08,73.62,35,1.48,25.66,64.1,27.85,125,10.15,2.64,51.54,149.49,215,9.06,6.4,75.85,79.49,305,0.25,43.91,2.71,913.85,8.0,412.37
0.13,1202.73,0.04,1049.86,0.07,1138.73,0.67,3.88,2.1,0.46,2.91,0.06,5.15,24.36,0.04,4820.62,122487.39,830.55,1.89,0.88,0.67,9.69,18.18,4.63,166.47,45,25.93,12.35,56.77,45.99,135,5.99,41.48,65.65,145.45,225,9.87,46.64,55.52,82.69,315,0.23,1103.83,23.87,1873.16,5.0,1066.73
0.14,336.23,0.09,2381.48,0.07,2913.76,0.6,1.89,1.3,0.59,2.61,0.06,3.46,21.26,0.09,10679.22,274520.15,1387.9,1.9,1.47,0.49,55.42,12.77,63.91,157.77,15,9.42,86.46,14.22,9.91,105,5.98,123.61,66.39,128.28,195,44.59,30.72,33.99,177.42,285,0.21,1347.01,4.15,1559.99,5.0,378.26
0.03,327.32,0.07,872.75,0.14,973.78,0.82,4.38,0.56,0.72,1.58,0.06,3.78,7.6,0.03,1564.99,7741.82,225.95,1.8,1.39,0.62,6.33,26.35,88.17,109.9,48,17.71,10.5,60.17,2.82,138,9.56,12.35,55.6,153.42,228,10.24,9.05,34.08,119.84,318,0.17,439.99,23.11,26.02,2.0,143.13
0.09,5.24,0.15,1642.89,0.16,1775.75,0.48,4.96,0.23,0.34,2.94,0.06,4.7,23.55,0.1,1515.07,3999.78,95.45,4.37,1.35,0.46,8.34,18.04,89.52,115.96,33,9.74,11.5,18.07,34.56,123,6.6,14.71,85.93,151.77,213,34.96,3.15,78.82,44.63,303,0.06,174.43,12.02,623.35,1.0,604.48
0.04,1241.56,0.11,910.41,0.05,926.17,0.52,1.12,1.89,0.57,1.01,0.05,5.08,24.64,0.08,5288.4,128477.04,727.42,1.28,1.44,0.82,17.86,15.45,29.09,1.94,69,21.44,18.15,82.73,2.26,159,14.24,35.89,32.04,124.32,249,8.18,56.64,27.99,124.8,339,-0.03,692.91,27.89,281.8,7.0,434.7
0.13,2237.31,0.14,669.76,0.06,743.8,0.48,2.48,2.28,0.59,1.41,0.03,5.07,25.01,0.07,3221.69,71998.44,499.33,4.12,0.85,0.54,3.73,34.28,40.49,80.94,13,11.47,8.48,61.43,42.72,103,11.68,14.11,66.41,149.49,193,13.92,13.64,46.28,61.61,283,0.13,1097.68,3.67,2593.57,6.0,533.41
0.18,911.3,0.12,298.82,0.07,349.86,0.78,1.31,2.7,0.31,2.62,0.03,3.82,8.49,0.05,1287.7,25225.68,75.65,3.98,1.18,0.71,29.73,3.04,17.39,102.77,8,20.1,6.3,79.9,78.31,98,4.18,7.84,49.95,134.57,188,16.56,2.78,74.35,19.75,278,0.27,8.51,21.2,1172.88,6.0,1834.65
0.13,1856.22,0.02,468.58,0.13,481.77,0.19,2.3,1.44,0.72,0.93,0.04,4.64,11.89,0.04,2031.9,39868.82,47.78,3.8,1.15,0.9,8.58,9.5,86.97,116.22,1,7.68,21.33,9.88,41.03,91,31.81,3.46,16.33,89.33,181,13.11,6.98,74.36,98.8,271,0.39,27.32,26.52,981.95,6.0,1225.64
0.04,458.14,0.07,390.28,0.18,486.87,0.89,4.88,1.02,0.75,0.5,0.06,3.62,11.13,0.1,953.89,9060.31,191.89,4.42,0.93,0.41,2.41,10.44,66.92,127.54,32,9.44,7.48,0.21,148.56,122,18.23,3.22,51.78,119.12,212,2.02,32.24,78.69,37.17,302,0.02,298.71,26.52,661.51,3.0,1751.87
